app_id,app_name,review_text,review_score,review_votes
239030,"Papers, Please","Papers, please. What do you mean? I just want to review the game.  Due to a recent acts of vandalism, reviewers are required to provide proper id. Oh, yes sure, here you go:  ╔════════════════════════╗ ║ Steam-User-Certificate ║ ╠========================╣ ║ Name: Janus ║ ║ SteamId: Headmade ║ ║ Level: 24 ║ ╚════════════════════════╝",1,0
239030,"Papers, Please","I had no idea what I was getting into with this game. From what I'd heard you just sit at a border checkpoint and decide if people are allowed to enter the country or not. And that's exactly what I got, but Papers, Please is so much more than that. It's not just a job simulation, it's a story of moral choices and corrupt government. It's not just about a border guard, it's about a man who struggles to provide for his family, who must work for the smallest of wages to make some of the toughest choices. You sit in your little checkpoint booth. A man comes up and hands you his passport. You skim over the information and stamp a big green 'APPROVED' for him. He thanks you and starts to walk away, but before he does he says, 'my wife is right behind me, please be nice to her.' Sure enough, up steps a nice young woman. There's her passport. You look down and see an expiration date of last month. 'This document is expired' you say. She stares at you, eyes wide and pleading: 'Please, if I go back to my country they will kill me. Please let me in.' What do you do? Do you risk losing your paycheck and therefore leave yourself unable to buy medicine for your sick son? Or do you abandon all morality and turn the woman away?  Papers, Please is not an easy game, nor is it free of consequences. Not only does it become insanely difficult to reivew piles of papers and make sure every little details is accrate and correct, but every choice you make determines who you are and the path you take. Will you work tirelessly for the glory of Arstotzka, or will you join the Order and be a part of the uprising against the tyrannical, corrupt government?",1,0
239030,"Papers, Please","Papers, Please has no right to be as fun as it is. Papers, Please has no right to be as poignant as it is. Papers, Please has no right to be possibly the best PC game of 2013 I've played. Papers, Please is all of these things.  The gameplay of Papers, Please is more or less a tedium simulator. It's Paperwork: The Game. And yet, you know that you need to process as many of these poor people as you can so that your family won't starve. You know that the old lady who you just denied will probably never see her son again; you know the young man you just let through has less than glorious ambitions in your city. Will you support the rebels? Will you toe the party line? Will you let the young lady through, even though her passport is clearly fake, because her fiance was just before her and bribed you to do so? The choice in this game is staggering, and the simplicity of the game itself allows for complete assimilation of your mind into the mind of your character. You feel bad when your child gets sick, but you know that food is sometimes more important than heat.  Papers, Please is a work of video game brilliance - a work of art. I give it seven out of seven stars.",1,0
239030,"Papers, Please","One day a woman came to my booth She said a man was following her and I must not let him through or she would be forced into slavery The man came through with valid papers I denied him I was told that the man had valid papers and was charged 5 credits I am now 5 dollars in debt to the great state of Arstotzka I come home to find my child and wife have been taken by sickness I hear knock at door I answer, two soldiers arrest me, and take my surviving family members away from me I am told that delinquency is not tolerated in Arstotzka I am thrown in jail until I can pay my debts I cannot because I am in jail I die in jail  Such is life in Arstotzka",1,0
239030,"Papers, Please","East Grestin, 1982  Here comes that weird guy again. The one in the red sweater and with the crooked smile always plastered on his face. It's the third time already, this month. I look at him through the glass as he waves at me in an oddly familiar way that makes me feel a little bit awkward. «Old friend, hello! I am back again! This time everything set!». His voice is loud and cheerful, and I just can't help but wonder what the heck is wrong with him. There's nothing to be so happy about in this rotten place, you old geezer. «Papers, please» I simply say, ignoring his greetings.  He grins while handing me his brand new passport. I chuckle. Definitely better than the last one, at least this one is not pre-approved. «So this time you're from Obristan, I see, Mr... Jorji Costava? Is this even your real name?». His grin grows even wider and he starts laughing again. «You a funny guy. I didn't like Cobrastan that much anymore. Obristan sure is a better country». He speaks with a tick foreign accent that makes me wonder where he is really from.  «Cobrastan isn't even a real country, in the first place» I point out matter-of-factly. «Where's your entry ticket?». His smile fades a little.  «Arstotzka so great, we don't need an entry ticket!».  «This is the same thing you said last time about passports. I'm sorry, an entry ticket is required». I hand his passport back. «Wow, you run very strict border here». He puts his paper back in the pocket of his trousers, shrugging. «That is good. Do job right. I look for entry thing and come back». Before leaving the booth, he stares intensely at me. «You a good guy, but I have business in Arstotzka. I see you soon». He waves me goodbye and then disappears in the crowd, with that big careless smile on his face.   *  I keep staring at the ceiling of my bedroom. In the end, it seems I can't really sleep at all tonight. I can hear my wife coughing weakly beside me. The doctor said it's just a cold, but she's getting worse day after day. I'm slightly worried. Our son is sleeping in the next room, the only one lit by the sun in the morning. He is turning 7 next week. I'd really want to buy him a special present for his birthday. We are currently living in a small apartment provided by the Ministry of Admission, here in East Grestin. The rooms are small and the heather doesn't work half the time. On top of that, our neighbours are awfully nosy. Living here is not that great, but there's really nothing I can do about it.   *  A week has passed since Jorji Costava last showed up. Maybe he is having a hard time finding a fake entry permit. Maybe he just gave up. Quite unlikely. The siren's ringing, another day of work is starting.  A tall figure silently enters the booth. He's wearing a green hood and his face is hidden behind a grey mask. I'm about to call the security, but he gently slides a paper note under the window and stares at me. «There's no much time, be quick please». His voice sounds young- he's probably younger than me- and unusually relaxed. My hands are shaking and I don't even know why. There's an odd symbol drawn on top of the card, a star-shaped one. I slowly open the note and start reading. I can feel the masked guy's staring gaze on me.        ARSTOTZKA IS GREAT COUNTRY POISONED BY CORRUPT LEADERS  WAR HAS MADE GOV'T GREEDY AND PARANOID - YOU HAVE SEEN FOR YOURSELF  HELP US FREE ARSTOTZKA FROM ITS SHACKLES  + THE ORDER OF THE EZIC STAR       I'm in a cold sweat. I look up at the masked guy, I'm at a loss for words. «Our agents are ready», he helds out his hand, eyeing the card. «Starting tomorrow. Let them pass».     In Papers, Please you play as an immigration inspector working for the Ministry of Admission of Arstotzka in East Grestin. Your job is to check on people trying to enter Arstotzka and decide who can pass through the border and who has to be denied or even arrested. Most of the time, your decisions will lead to a different ending (not always a good one!). Choose wisely, the destiny of Arstotzka, your family and many other people is in your hands.    Pros:  -Well written dystopian settings -20 different endings -Lovely retro graphics -Jorji Costava -Great plot and sub-plots -Shooting terrorists from your inspection booth since 1982 -Did I already mention Jorji Costava?    Cons: -Maybe old school graphics are not everyone's cup of tea (I personally love it though) -Stamping visas and check out papers will probably sound boring to someone -There's no 'Escape to Obristan with your newfound best friend Jorji' ending  Papers, Please is hands-down one of my favorite games. Be sure to give it a try, you definitely won't regret it.",1,1
239030,"Papers, Please","'Ideas are more powerful than guns. We would not let our enemies have guns, why should we let them have ideas?' - Joseph Stalin   Congratulations! You've won the lottery and earned the 'right' to become a nameless, faceless little bureaucrat who is responsible from the border station of a fictional socialist country in 1980s, alongside countless entrants and their tons of paperwork. Glory to Arstotzka!  Before describing any kind of gameplay, I'd like to warn you:  Papers, Please  is a highly political satire that parodies Stalin's Russia, or any oppressive totalitarian regime in human history. The humor of the game is comedy noir: cold, immediate and careless with an appropriate dose of existentialism, presenting some genuine examples of your good old-fashioned political dystopia. If you like your sarcasm served cold, and patient enough to go through a simulation of routine banality to observe a comment on the dynamics of government, keep reading. The game manages to set the mood for it perfectly.   Papers, Please  doesn't even closely resemble any game that I've played so far. It is a basic simulation that lets you try and decide whomever is eligible to enter the country, and whomever is not. And guess what? The rules change daily, always getting more and more complicated until the point you cannot possibly 'not' hate the government. Endless political conflicts between the government, the neighboring countries and terrorist groups that are ever present don't make things easier or even safer. You live, work and try to earn enough to feed your family, but life is impossible for the honest as always. So things start to get interesting both financially and politically for our bureaucrat as the scenario progresses.  The game has 20 or so ending, which presents huge replayability and contains some hidden achievements to hunt for. As a plus, the game takes each save file for each day separately, so it is real easy to load a specific day and replay for the achievement or ending needed.  As the last call: I really liked the game, and probably gonna try to achievement hunt for a while. I advise the game for the curious, the bitter and the know-it-all. The graphic lovers won't find anything satisfactory though.  Please also check out Lady Storyteller's Curator page  here  - follow for regular updates on reviews for other games!",1,1
239030,"Papers, Please","Papers, Please is one unique snowflake in the massive ammount of Indie Games that is turning up lately on Steam. If you get to pick one Indie game to play, make it this one.  While playing it you will not only be confronted with moral dilemmas and unexpected inspections, you might also be encouraged to think about oppressive regimes and what they mean for the people that have to live in them. Bonus points to you if you start pondering about what a state should do for its citizens and what not.  And even if you are unable to grasp the deeper facettes of this game, you will have still a great time stamping 'Denied' or 'Approved' into Visa markings.  The game gets more and more complex the longer you play it. Discovering all the endings and unlocking Achievements also add to the fun. I also enjoyed the music in this game, its suprisingly nice.  You should plan your next holiday in Arstotzka, make sure you get your Papers in time.  Glory to Arstotzka! .",1,0
239030,"Papers, Please",General Thoughts / Review,1,1
239030,"Papers, Please","'Papers, please.'   *man hands me poorly drawn picture of himself*   'Sir thats not a valid passport'   Man: 'ok that fine I come back later'   *comes back the next day with name scribbled below picture*  ...   11/10",1,1
239030,"Papers, Please","Man comes up And gives me passport only. man: I dont have all papers, but I can come back in 3 days, ill give you five bucks and this watch to approve my entry me: *takes watch and money, denies entry*  Man: What? Bull! give me my watch back at least. me: *Doesnt give watch back*  man: im not leaving without watch! Me: *detains man. sells watch on way home* me: *doesnt pay for heating or food for family* me: Glory to Arstotzka  11/10 would deny again",1,0
